,title,debut_date,peak_position,peak_date,weeks_on_chart
121,Enchanted,11.13.10,75,11.13.10,1
122,Better Than Revenge,11.13.10,56,11.13.10,1
123,Superstar,11.14.09,26,11.14.09,1
124,Breathless,02.13.10,72,02.13.10,1
125,Innocent,11.13.10,27,11.13.10,1
126,Hey Stephen,11.29.08,94,11.29.08,1
127,The Way I Loved You,11.29.08,72,11.29.08,1
128,Come In With The Rain,11.14.09,30,11.14.09,1
129,Breathe,11.29.08,87,11.29.08,1
130,Paper Rings,09.07.19,45,09.07.19,1
131,Soon You'll Get Better,09.07.19,63,09.07.19,1
132,Daylight,09.07.19,89,09.07.19,1
133,London Boy,09.07.19,62,09.07.19,1
134,Afterglow,09.07.19,75,09.07.19,1
135,False God,09.07.19,77,09.07.19,1
136,Death By A Thousand Cuts,09.07.19,67,09.07.19,1
137,Miss Americana & The Heartbreak Prince,09.07.19,49,09.07.19,1
138,It's Nice To Have A Friend,09.07.19,92,09.07.19,1
139,I Think He Knows,09.07.19,51,09.07.19,1
140,Cornelia Street,09.07.19,57,09.07.19,1
141,Peace,08.08.20,58,08.08.20,1
142,Hoax,08.08.20,71,08.08.20,1
143,Epiphany,08.08.20,57,08.08.20,1
144,This Is Me Trying,08.08.20,39,08.08.20,1
145,Illicit Affairs,08.08.20,44,08.08.20,1
146,Mad Woman,08.08.20,47,08.08.20,1
147,Christmas Tree Farm,12.21.19,59,12.21.19,1
148,Only The Young,02.15.20,50,02.15.20,1
149,Everything Has Changed (Taylor's Version),11.27.21,63,11.27.21,1
150,Stay Stay Stay (Taylor's Version),11.27.21,67,11.27.21,1
151,Babe (Taylor's Version) (From The Vault),11.27.21,69,11.27.21,1
152,Nothing New (Taylor's Version) (From The Vault),11.27.21,43,11.27.21,1
153,Run (Taylor's Version) (From The Vault),11.27.21,47,11.27.21,1
154,I Knew You Were Trouble (Taylor's Version),11.27.21,46,11.27.21,1
155,22 (Taylor's Version),11.27.21,52,11.27.21,1
156,We Are Never Ever Getting Back Together (Taylor's Version),11.27.21,55,11.27.21,1
157,Gold Rush,12.26.20,40,12.26.20,1
158,Long Story Short,12.26.20,68,12.26.20,1
159,Cowboy Like Me,12.26.20,71,12.26.20,1
160,Tolerate It,12.26.20,45,12.26.20,1
161,Ivy,12.26.20,61,12.26.20,1
162,Evermore,12.26.20,57,12.26.20,1
163,Coney Island,12.26.20,63,12.26.20,1
164,Closure,12.26.20,82,12.26.20,1
165,Dorothea,12.26.20,67,12.26.20,1
166,Happiness,12.26.20,52,12.26.20,1
167,Marjorie,12.26.20,75,12.26.20,1
168,You Belong With Me (Taylor's Version),04.24.21,75,04.24.21,1
169,Fifteen (Taylor's Version),04.24.21,88,04.24.21,1
170,Fearless (Taylor's Version),04.24.21,71,04.24.21,1
171,Forever & Always (Taylor's Version),04.24.21,65,04.24.21,1
172,The Way I Loved You (Taylor's Version),04.24.21,94,04.24.21,1
173,Renegade,07.17.21,73,07.17.21,1
174,Wildest Dreams (Taylor's Version),10.02.21,37,10.02.21,1
175,Treacherous (Taylor's Version),11.27.21,54,11.27.21,1
176,Better Man (Taylor's Version) (From The Vault),11.27.21,51,11.27.21,1
177,I Almost Do (Taylor's Version),11.27.21,59,11.27.21,1
178,The Last Time (Taylor's Version),11.27.21,66,11.27.21,1
179,Holy Ground (Taylor's Version),11.27.21,76,11.27.21,1
180,The Very First Night (Taylor's Version) (From The Vault),11.27.21,61,11.27.21,1
181,Begin Again (Taylor's Version),11.27.21,77,11.27.21,1
182,The Lucky One (Taylor's Version),11.27.21,84,11.27.21,1
183,Sad Beautiful Tragic (Taylor's Version),11.27.21,85,11.27.21,1
184,Forever Winter (Taylor's Version) (From The Vault),11.27.21,79,11.27.21,1
185,The Moment I Knew (Taylor's Version),11.27.21,83,11.27.21,1
186,Starlight (Taylor's Version),11.27.21,90,11.27.21,1
187,Come Back...Be Here (Taylor's Version),11.27.21,87,11.27.21,1
188,This Love (Taylor's Version),05.21.22,50,05.21.22,1
189,Carolina,07.09.22,60,07.09.22,1
